"","tweet_id","airline_sentiment_confidence","negativereason","negativereason_confidence","airline","airline_sentiment_gold","name","negativereason_gold","retweet_count","text","tweet_coord","tweet_created","tweet_location","user_timezone","airline_sentiment","ID_unit","Prob","Stratum"
"9051",570269272502607872,0.6737,"Flight Booking Problems",0.3684,"US Airways","","haascc6","",0,"@USAirways trying to use chairman upgrade cert for flt 740 on 2/26/14 but being told not an option with 10 open seats? How? Thanks","","2015-02-24 09:09:24 -0800","","Eastern Time (US & Canada)","negative",5005,0.0653737197646546,1
"9090",570235609933078528,1,"Customer Service Issue",1,"US Airways","","oliviahaymond","",0,"@USAirways - Good to know that your phone customer service is still impaired due to ""bad weather"" that was over a week ago #jetblueanyone?","","2015-02-24 06:55:38 -0800","Tampa, Florida","Eastern Time (US & Canada)","negative",5031,0.0653737197646546,1
"9093",570231607757381632,1,"Late Flight",1,"US Airways","","MadeleineDay","",0,"@USAirways @AmericanAir our honeymoon was delayed a day because a gas cap was not screwed on! Flight 1801- so frustrating!","","2015-02-24 06:39:44 -0800","St. Louis","Pacific Time (US & Canada)","negative",5034,0.0653737197646546,1
"9099",570225817873227776,1,"Lost Luggage",1,"US Airways","","mcgarr_ok","",0,"@USAirways Baggage Team? Recording tells me my bag still hasn't been found. And delayed baggage link on web conveniently not working. #worst","","2015-02-24 06:16:43 -0800","","","negative",5040,0.0653737197646546,1
"9113",570214488739225600,1,"Lost Luggage",1,"US Airways","","kintheusa","",0,"@USAirways can you DM please in regards to update on lost bag please.","","2015-02-24 05:31:42 -0800","","","negative",5048,0.0653737197646546,1
"9117",570208640520622080,0.7087,"Customer Service Issue",0.7087,"US Airways","","peterbarth","",0,"@USAirways why aren't you updating flight status/delays?","","2015-02-24 05:08:28 -0800","Greenville, SC","Eastern Time (US & Canada)","negative",5051,0.0653737197646546,1
"9123",570204219191504896,1,"Flight Booking Problems",0.3663,"US Airways","","Danye33","",0,"@USAirways just wasted another hour of my life on hold. this is insanity. there has to be another way to use my voucher as payment online","","2015-02-24 04:50:54 -0800","","Eastern Time (US & Canada)","negative",5057,0.0653737197646546,1
"9139",570156989541687296,1,"Can't Tell",1,"US Airways","","yorkshire2002","",0,"@usairways  Thank you for allowing me to spend more money on vacation by buying things I already bought.","","2015-02-24 01:43:13 -0800","Kentucky","Eastern Time (US & Canada)","negative",5071,0.0653737197646546,1
"9166",570085423801888768,1,"Customer Service Issue",0.6518,"US Airways","","worldwideweg","",0,"@USAirways  I'm glad this airline is going to be swallowed by American!!! American always picks up the phone and solves problems.","","2015-02-23 20:58:51 -0800","","","negative",5094,0.0653737197646546,1
"9192",570076827135246336,1,"Can't Tell",0.3596,"US Airways","","KyleHanagami","",0,"@USAirways is the worst. I have to pay $200 just to NOT take my first flight in a round trip! Otherwise they'll Cancelled Flight my whole flight.","","2015-02-23 20:24:41 -0800","Los Angeles, CA","Pacific Time (US & Canada)","negative",5117,0.0653737197646546,1
"9199",570073473952968704,1,"Lost Luggage",1,"US Airways","","mcgarr_ok","",0,"@USAirways my frustrations are the result of multiple experiences Late Flightly. Currently lost luggage. I want to talk to a real person.","","2015-02-23 20:11:22 -0800","","","negative",5123,0.0653737197646546,1
"9209",570063683256242176,1,"Customer Service Issue",1,"US Airways","","retardedlarry","",0,"@USAirways has the worst customer service line.  I've called them 8 times today and not once was I able to talk to a real human being.","","2015-02-23 19:32:28 -0800","","","negative",5131,0.0653737197646546,1
"9214",570060273798631424,0.6598,"Can't Tell",0.3512,"US Airways","","marisa_negri","",0,"@USAirways Yes &amp; have already spent 1K+ on the card &amp; paid the $89 annual fee, but the 50K miles have not shown up. Want to fly AUS --&gt; ATL","","2015-02-23 19:18:55 -0800","Austin, TX | Atlanta, GA","Eastern Time (US & Canada)","negative",5136,0.0653737197646546,1
"9226",570051488875020288,1,"Customer Service Issue",1,"US Airways","","m2gris","",0,"@USAirways - 53 minutes on hold for a reservation?","","2015-02-23 18:44:00 -0800","Irvine, Ca","","negative",5144,0.0653737197646546,1
"9229",570048275367079936,1,"Flight Booking Problems",0.6713,"US Airways","","alec1289","",0,"@usairways I've been on hold for over an hour only b/c my CC miles aren't showing up. What a mediocre combo of cc &amp; airline #SwitchingBoth","","2015-02-23 18:31:14 -0800","Los Angeles","Pacific Time (US & Canada)","negative",5147,0.0653737197646546,1
"9244",570030761539182592,1,"Flight Attendant Complaints",1,"US Airways","","BernadetteGH","",0,"@USAirways is it ok for a flight attendant to talk nasty about passengers while they go get drinks by the restroom? I was shocked listening","","2015-02-23 17:21:38 -0800","Earth ","","negative",5161,0.0653737197646546,1
"9247",570030083093729280,1,"Late Flight",0.3441,"US Airways","","madison_mason","",1,"@USAirways I can't wait to never fly with you again. Always delayed. Always lose my bag. Rudest people on the planet. Southwest is the best","","2015-02-23 17:18:57 -0800","","Central Time (US & Canada)","negative",5163,0.0653737197646546,1
"9289",570004421352001536,1,"Can't Tell",1,"US Airways","","monky797","",0,"@USAirways  I will never fly us airways again.","","2015-02-23 15:36:58 -0800","","","negative",5191,0.0653737197646546,1
"9294",570000760035024896,0.6701,"Late Flight",0.6701,"US Airways","","jasemccarty","",0,"@USAirways as far as being delayed goes… Looks like tailwinds are going to make up for it. Good news!","","2015-02-23 15:22:25 -0800","BTR/DCA/IAD/MSY - etc","Central Time (US & Canada)","negative",5195,0.0653737197646546,1
"9299",569996446348517376,1,"Flight Attendant Complaints",1,"US Airways","","jasemccarty","",0,"@USAirways it is really embarrassing when asking for complimentary drink/snack detailed here: https://t.co/9zA6xb1h89 &amp; being argued with.","","2015-02-23 15:05:17 -0800","BTR/DCA/IAD/MSY - etc","Central Time (US & Canada)","negative",5199,0.0653737197646546,1
"9313",569989043456380928,1,"Customer Service Issue",0.6526,"US Airways","","mitchsunderland","",0,"@USAirways your airway is a joke. I have never dealt with worse service","","2015-02-23 14:35:52 -0800","Florida Raised, NYC Based ","London","negative",5207,0.0653737197646546,1
"9352",569970977368645632,1,"Late Flight",1,"US Airways","","suetrio","",0,"@USAirways thank you for putting me on a flight that will be leaving Late Flightr than the original flight I was booked on.","","2015-02-23 13:24:05 -0800","","","negative",5235,0.0653737197646546,1
"9358",569970287493705728,1,"Flight Attendant Complaints",0.3407,"US Airways","","smaguire2","",0,"@USAirways this is no way to treat women.  I want someone to contact me and explain how they will make this acceptable.","","2015-02-23 13:21:20 -0800","","Atlantic Time (Canada)","negative",5238,0.0653737197646546,1
"9383",569960904852312064,1,"Customer Service Issue",1,"US Airways","","ElmiraBudMan","",0,"@USAirways just an FYI I'll be writing registered letters 2 your ceo and those down the line 4 the shameful treatment and reactions we got.","","2015-02-23 12:44:03 -0800","Does it really matter","","negative",5254,0.0653737197646546,1
"9389",569959393917149184,0.6436,"Customer Service Issue",0.3465,"US Airways","","letyak","",0,"@USAirways our flight was rebooked with you and we want to change our seats or upgrade to 1st class. Can you help? Phones are down.","","2015-02-23 12:38:03 -0800","Philadelphia, PA","Eastern Time (US & Canada)","negative",5259,0.0653737197646546,1
"9425",569942656522047488,1,"Customer Service Issue",1,"US Airways","","BriRose16","",0,"@USAirways can I speak to a human with some compassion? I wrote an email to discuss my experience and received a generic ""sorry"" email back","","2015-02-23 11:31:32 -0800","Baltimore, MD ","","negative",5287,0.0653737197646546,1
"9469",569921267601580032,1,"Lost Luggage",1,"US Airways","","johnhughesrocks","",0,"@USAirways Why did you put my luggage on the plane after mine? Then not deliver it to me like you said? Now show the claim as closed online?","","2015-02-23 10:06:33 -0800","","","negative",5327,0.0653737197646546,1
"9507",569899859161026560,1,"Customer Service Issue",1,"US Airways","","electromail","",0,"@USAirways That is the height of rudeness, and without question the worst customer service I have ever experienced.","","2015-02-23 08:41:29 -0800","Watching @Interpol somewhere","Amsterdam","negative",5353,0.0653737197646546,1
"9526",569892413235294208,1,"Customer Service Issue",0.6526,"US Airways","","tannapistolis","",0,"@USAirways congrats on treating your customers the worst way possible. I know plenty of other ppl who have had horrible experience w you too","","2015-02-23 08:11:54 -0800","","Eastern Time (US & Canada)","negative",5368,0.0653737197646546,1
"9548",569883285989531648,1,"Customer Service Issue",1,"US Airways","","MeeestarCoke","",0,"@USAirways @AmericanAir 28 hours Late Flightr still no email. work supervisor needs documentation to approve last minute vacation day request","","2015-02-23 07:35:37 -0800","BK","","negative",5388,0.0653737197646546,1
"9550",569882442129133568,1,"Cancelled Flight",1,"US Airways","","Allmyvacations","",0,"@USAirways here's to sitting on hold for 4 hrs flight Cancelled Flighted and they disconnect twice. #fend4urself #stranded #diverted","","2015-02-23 07:32:16 -0800","Stafford VA","","negative",5390,0.0653737197646546,1
"9563",569874944282234880,1,"Late Flight",1,"US Airways","","tjmurphy24_law","",0,"@USAirways thx for delayed checkin on noon flt to mia then forcing me to take Late Flightr flts which were delayed. Cincy to Miami in 13 hrs! #fast","","2015-02-23 07:02:29 -0800","Terrace Park OH","","negative",5400,0.0653737197646546,1
"9617",569820790905970688,1,"Late Flight",0.6875,"US Airways","","sheilafmaguire","",0,"@USAirways flt 419. 2+ hrs Late Flight, baggage + 1 more hr. Now I see they delivered my suitcase wet inside &amp; out. #NotHappy","[36.11203645, -115.17712729]","2015-02-23 03:27:17 -0800","Scituate, MA","Eastern Time (US & Canada)","negative",5435,0.0653737197646546,1
"9632",569764668366938112,1,"Customer Service Issue",1,"US Airways","","TarpsTwin","",0,"@USAirways Storm or no storm, your customer service is a joke. 6 hour wait time to speak to someone? I will never fly your airline again.","[0.0, 0.0]","2015-02-22 23:44:17 -0800","Washington, DC","","negative",5447,0.0653737197646546,1
"9643",569759259480600576,1,"Customer Service Issue",0.6894,"US Airways","","rossj987","",0,"@USAirways how do I get off my plane and wait over an hour and a half to speak to someone about reFlight Booking Problems?","","2015-02-22 23:22:47 -0800","Washington, D.C.","Eastern Time (US & Canada)","negative",5458,0.0653737197646546,1
"9661",569747390758047744,1,"Can't Tell",0.6605,"US Airways","","FallNightLights","",0,"@USAirways has to be the most lazy, inconsiderate, and unprofessional airline that I have ever traveled.","","2015-02-22 22:35:38 -0800","Detroit - Hampton U.","Quito","negative",5474,0.0653737197646546,1
"9667",569734884396302336,1,"Customer Service Issue",1,"US Airways","","Alauric_21","",0,"@USAirways #usairways lost a passenger today for not upholding their promise of excellent customer service!!!","","2015-02-22 21:45:56 -0800","ImInMiamiBitch","Central Time (US & Canada)","negative",5480,0.0653737197646546,1
"9679",569721813220995072,0.3682,"Can't Tell",0.3682,"US Airways","","landonschott","",0,"@USAirways you reminded me today why I fly @SouthwestAir","","2015-02-22 20:53:59 -0800","Austin TX","Central Time (US & Canada)","negative",5491,0.0653737197646546,1
"9714",569701192449654784,1,"Customer Service Issue",1,"US Airways","","UnluckyDon","",0,"@USAirways Instructions say to CALL. I'm just doing what it said to do.","","2015-02-22 19:32:03 -0800","Santa Cruz, CA","","negative",5522,0.0653737197646546,1
"9768",569673913892003840,1,"Late Flight",1,"US Airways","","Geneva_Sands","",0,"@USAirways why does this flight keep getting delayed Late Flightr and Late Flightr?","[33.54774386, -86.75224256]","2015-02-22 17:43:39 -0800","Washington, D.C. ","Eastern Time (US & Canada)","negative",5566,0.0653737197646546,1
"9800",569660306298945536,1,"Can't Tell",1,"US Airways","","ElmiraBudMan","",0,"@USAirways @PHLAirport this is the reason I avoid @PHLAirport and @USAirways like the plague. Glad to see this merger is working well. #dumb","","2015-02-22 16:49:35 -0800","Does it really matter","","negative",5591,0.0653737197646546,1
"9801",569659952681361408,0.6858,"Can't Tell",0.3666,"US Airways","","jwhill12","",0,"@USAirways @AmericanAir Any word on accommodations for the passengers on US 746 when they arrive in Charlotte? Lot of tired passengers here","","2015-02-22 16:48:11 -0800","Philadelphia","","negative",5592,0.0653737197646546,1
"9816",569653415317413888,1,"Customer Service Issue",0.6955,"US Airways","","MosheStatman","",0,"@USAirways #stuck in Florida with no flights... Service sucks here. #nofood #nodrinks #nohelp","","2015-02-22 16:22:12 -0800","","Atlantic Time (Canada)","negative",5603,0.0653737197646546,1
"9818",569652631938985984,1,"Customer Service Issue",1,"US Airways","","mjkelesh","",0,"@USAirways your IVR hung up on me because of high call volume? I need help. Call me","","2015-02-22 16:19:05 -0800","O-H","","negative",5605,0.0653737197646546,1
"9836",569647318535786496,0.709,"Customer Service Issue",0.709,"US Airways","","tank_martell","",0,"@USAirways been on hold for over and hour now.","","2015-02-22 15:57:58 -0800","Beaufort, SC","Eastern Time (US & Canada)","negative",5620,0.0653737197646546,1
"9850",569641343254970368,1,"Lost Luggage",0.6989,"US Airways","","jenw714","",0,"@USAirways can you please help me find my luggage since you're the one who lost it? Your customer service SUCKS.","","2015-02-22 15:34:14 -0800","Atl","Central Time (US & Canada)","negative",5633,0.0653737197646546,1
"9883",569627079458865152,0.6294,"Cancelled Flight",0.6294,"US Airways","","HollyHMullin","",0,"@USAirways No flights out of Philly because of system wide tech issue.   @CBSPhilly","","2015-02-22 14:37:33 -0800","","Eastern Time (US & Canada)","negative",5661,0.0653737197646546,1
"9885",569626882053787648,1,"Cancelled Flight",1,"US Airways","","servicejunkie19","",0,"@USAirways epic fail @ CLT ystrdy w/Cancelled Flightled flights. No staff, no communication &amp; no refund for unused portion of tix. Keep it classy guys","","2015-02-22 14:36:46 -0800","","","negative",5663,0.0653737197646546,1
"9888",5.69625848334e+17,1,"Late Flight",1,"US Airways","","greatloop","",0,"@USAirways on plane from BOS to CLT for 60 mins. Still at gate. Crew says system-wide computers preventing paperwork. Any info you can give?","[42.36184505, -71.02219492]","2015-02-22 14:32:40 -0800","The Great Loop","Eastern Time (US & Canada)","negative",5666,0.0653737197646546,1
"9910",569621210746789888,0.6737,"Late Flight",0.3368,"US Airways","","rossj987","",0,"@USAirways so apparently all of your computers crashed at BWI?  Any update on when flights will be moving?","","2015-02-22 14:14:14 -0800","Washington, D.C.","Eastern Time (US & Canada)","negative",5685,0.0653737197646546,1
"9923",569614422496444416,1,"Lost Luggage",1,"US Airways","","09202010","",0,"@USAirways when do we get our baggages? @usaireays 699 LA to RDU http://t.co/vU5lBZXtRX","","2015-02-22 13:47:15 -0800","","Mountain Time (US & Canada)","negative",5694,0.0653737197646546,1
"9935",569608141689753600,1,"Customer Service Issue",1,"US Airways","","jakejrssherry","",0,"@USAirways the ads on your phone systems when waiting for a rep is the most annoying thing ever especially when waiting for over 10 mins...","","2015-02-22 13:22:18 -0800","","Atlantic Time (Canada)","negative",5704,0.0653737197646546,1
"9964",569599725240000512,1,"Customer Service Issue",1,"US Airways","","brittalb","",0,"@usairways I have been on hold for over 3 hours.  Please help! http://t.co/tyXAZtMQ1U","","2015-02-22 12:48:51 -0800","","","negative",5729,0.0653737197646546,1
"9979",569595123799101440,0.6818,"Customer Service Issue",0.375,"US Airways","","bta7","",0,".@USAirways trying to get a partner PNR, and have spent more than 1 hour on hold.  I know its snowing somewhere, but this is awful","","2015-02-22 12:30:34 -0800","Wauwatosa, WI ","Central Time (US & Canada)","negative",5742,0.0653737197646546,1
"9995",569585968610615296,1,"Cancelled Flight",1,"US Airways","","farmdinner","",0,"@USAirways Cancelled Flightled flight this AM. There was avail flight to PHL today u said was sold out. I had to buy 2nd ticket, u need to refund me.","","2015-02-22 11:54:11 -0800","","Eastern Time (US & Canada)","negative",5756,0.0653737197646546,1
"10004",569581400850096128,1,"Late Flight",1,"US Airways","","CaseyRhoades1","",0,"@USAirways flight 838 now leaving after 6 hour mechanical delay. Need lodging voucher and meals tonight in st Thomas who do I see?","","2015-02-22 11:36:02 -0800","Madbury, NH","","negative",5763,0.0653737197646546,1
"10013",569575176322424832,1,"Customer Service Issue",0.6415,"US Airways","","tapps","",0,"@USAirways i did and i'm not stupid. i've done web development for 19 yrs. the issue (now confirmed by your support) is YOUR website.","","2015-02-22 11:11:18 -0800","brown deer, wi","Central Time (US & Canada)","negative",5772,0.0653737197646546,1
"10018",569571654998888448,1,"Late Flight",1,"US Airways","","ConNyoungjeezy","",0,"@USAirways 30 min delay for mechanics to replace rivets. 30 mins Late Flightr, turns out mechanics had wrong size rivets. 35 more mins. Pathetic","","2015-02-22 10:57:19 -0800","Boston","Quito","negative",5776,0.0653737197646546,1
"10039",569560151100821504,1,"Customer Service Issue",0.6975,"US Airways","","BellaSal","",0,"@USAirways 4 hrs and counting today alone... like I don't have other things to accomplish today than to just keep holding!!!","","2015-02-22 10:11:36 -0800","Pittsburgh, Pa","","negative",5793,0.0653737197646546,1
"10041",569559311095095296,0.6461,"Customer Service Issue",0.3435,"US Airways","","ClaudOakeshott","",0,"@USAirways That link doesn't work on mobile.","","2015-02-22 10:08:16 -0800","Washington DC","","negative",5795,0.0653737197646546,1
"10056",569555930028748800,1,"Customer Service Issue",0.7065,"US Airways","","ColfaxCapital","",1,"@USAirways @JosephTReis Dont bother. They dont pick up the phone. Worst customer service going","","2015-02-22 09:54:50 -0800","39.0708° N, 106.9886° W","Quito","negative",5809,0.0653737197646546,1
"10087",569541291467522048,1,"Late Flight",1,"US Airways","","jacove","",0,"@USAirways why now just announce delay of 4478 from PVD when you knew captain was already on delayed flight coming in? Frustrating","","2015-02-22 08:56:40 -0800","","Eastern Time (US & Canada)","negative",5838,0.0653737197646546,1
"10106",569535527227150336,1,"Customer Service Issue",0.6987,"US Airways","","lincord88","",0,"@USAirways your service sucks.","","2015-02-22 08:33:45 -0800","Washington, DC","Eastern Time (US & Canada)","negative",5853,0.0653737197646546,1
"10116",569532667869335552,1,"Customer Service Issue",1,"US Airways","","Dalts81","",0,"@USAirways @ALfamilyoffour maybe if there was anyone answering the phone they would. ""Please call back Late Flightr"".For 18 hours? Not good enough","","2015-02-22 08:22:24 -0800","Blackpool","London","negative",5862,0.0653737197646546,1
"10158",569518200410546176,1,"Flight Attendant Complaints",1,"US Airways","","VikingJim60","",0,"@USAirways 100 feet from the gate at PHL, but no ground crew. You can't make this up.","","2015-02-22 07:24:54 -0800","Doylestown, PA","Eastern Time (US & Canada)","negative",5897,0.0653737197646546,1
"10177",569506361266085888,1,"Customer Service Issue",1,"US Airways","","PrRiesenberg","",0,"@USAirways my brother @BRizzyberg27 missed his flight traveling home for a funeral and can't get through to the call center, can you help?","","2015-02-22 06:37:52 -0800","","","negative",5914,0.0653737197646546,1
"10185",569500787849728000,1,"longlines",0.6885,"US Airways","","emilyedawson","",0,"@USAirways needs to get it together in Indy. Only 2 ticket agents and a line to the door. Felt bad for ppl who missed their flights.","","2015-02-22 06:15:43 -0800","","Central Time (US & Canada)","negative",5922,0.0653737197646546,1
"10199",569493018081947648,1,"Late Flight",0.3541,"US Airways","","NatureNerdness","",0,"@USAirways 23 min on hold... Drove 2.5 hours to get my delayed bag. I just want to pick it up at SJU.","","2015-02-22 05:44:50 -0800","","","negative",5932,0.0653737197646546,1
"10204",569492106923806720,1,"Customer Service Issue",1,"US Airways","","kathrynstwtr","",0,"@usairways trick for getting into your hold queue?  I've been calling since Thursday and keep getting the ""call back Late Flightr"" message","","2015-02-22 05:41:13 -0800","Pittsburgh","Eastern Time (US & Canada)","negative",5936,0.0653737197646546,1
"10208",569489753332191232,1,"Lost Luggage",0.6871,"US Airways","","WarrickHoward","",0,"@USAirways My bags were supposed to be delivered to NYC last night (missing since Thurs) but are not here. Can someone call me?","","2015-02-22 05:31:52 -0800","","London","negative",5939,0.0653737197646546,1
"10257",569443675194966016,1,"Customer Service Issue",1,"US Airways","","drewdenker","",0,"@USAirways now on hold for 90 minutes","","2015-02-22 02:28:46 -0800","","","negative",5987,0.0653737197646546,1
"10270",569419080479875072,1,"Customer Service Issue",1,"US Airways","","bgarritty","",0,"@USAirways 2 hours on hold. Still no answer. Horrible.","","2015-02-22 00:51:02 -0800","Adelaide, Australia","Adelaide","negative",5999,0.0653737197646546,1
"10290",569388260633542656,1,"Late Flight",0.6667,"US Airways","","nburnside26","",0,"@USAirways tell my professors that when I don't show up to class/write my midterm because I'm stuck with no flights home 😠","","2015-02-21 22:48:34 -0800","","Central Time (US & Canada)","negative",6017,0.0653737197646546,1
"10325",569371393294344192,1,"Customer Service Issue",1,"US Airways","","jtrexsocial","",1,"@UsAirways can a real person help me here? This customer service is poor. I'm at the mercy of someone since the flights are disappearing.","","2015-02-21 21:41:33 -0800","Philadelphia","Eastern Time (US & Canada)","negative",6050,0.0653737197646546,1
"10346",569360352594546688,1,"Customer Service Issue",0.6702,"US Airways","","nm4agoodlife","",0,"@USAirways As a member of the news media, the awful service of the last few days won't go unnoticed.","","2015-02-21 20:57:40 -0800","","Eastern Time (US & Canada)","negative",6068,0.0653737197646546,1
"10360",569353454914662400,1,"Late Flight",1,"US Airways","","ColfaxCapital","",0,"@USAirways been sitting on the tarmac for 90 mins now bc engine is broken. How are u going to compensate passengers #WorstAirline","","2015-02-21 20:30:16 -0800","39.0708° N, 106.9886° W","Quito","negative",6079,0.0653737197646546,1
"10383",569340402786025472,1,"Customer Service Issue",0.6559,"US Airways","","GatorGirl36","",0,"@USAirways he waited over two hours on the phone, had to book and get to MI, family member very ill, time of the essence","","2015-02-21 19:38:24 -0800","","Eastern Time (US & Canada)","negative",6101,0.0653737197646546,1
"10385",569338966857687040,1,"Flight Attendant Complaints",0.6727,"US Airways","","HurnerAndTooch","",0,"@USAirways Can't stress enough how awful the agent was for flight 5283. Knew 11 ppl from delayed flight were on way in mins, no compassion.","","2015-02-21 19:32:42 -0800","Virginia","","negative",6103,0.0653737197646546,1
"10392",569337230935724032,1,"Flight Attendant Complaints",1,"US Airways","","dnadamsel","",0,"@USAirways understood. It simply feels as if the staff is not being entirely truthful about the situation.","","2015-02-21 19:25:48 -0800","","Quito","negative",6109,0.0653737197646546,1
"10426",569316516321202176,0.6569,"Flight Booking Problems",0.3317,"US Airways","","jenniferlyell","",0,"@USAirways I need help. In air on #717 to CLT from PHL. Conf: D1MQF5 Need confirmed on #1776 to BNA at 10:30. Been bumped all day, need home","","2015-02-21 18:03:29 -0800","Nashville, TN","Central Time (US & Canada)","negative",6134,0.0653737197646546,1
"10431",569313112089886720,0.6909,"Late Flight",0.3642,"US Airways","","jshieber","",0,"@USAirways hour 4 at the gate.","","2015-02-21 17:49:57 -0800","New York ","Beijing","negative",6138,0.0653737197646546,1
"10467",569274088289660928,1,"Customer Service Issue",1,"US Airways","","beychok","",0,"@USAirways it a change fee request from a month ago.  after one hour on phone with your team, I’m told 120 day backlog.  Awful.","","2015-02-21 15:14:53 -0800","Washington DC","Central Time (US & Canada)","negative",6164,0.0653737197646546,1
"10506",569244957698969600,1,"Lost Luggage",0.6759,"US Airways","","LindsaySweeting","",0,"@USAirways Your Baggage system has hung up on me twice because you have too many callers. I NEED TO FIND MY HUSBAND'S (@SweetingR) BAGS.","","2015-02-21 13:19:08 -0800","Asheville, NC","Central Time (US & Canada)","negative",6186,0.0653737197646546,1
"10515",569239087493857280,0.6526,"Late Flight",0.3579,"US Airways","","POnions","",0,"@USAirways what am I paying you $275 for?   Fly the damn plane!  Not one announcement from the crew.  Let me know how you wanna refund me.","","2015-02-21 12:55:49 -0800","CT, USA","Central Time (US & Canada)","negative",6193,0.0653737197646546,1
"10544",569202715571703808,1,"Bad Flight",1,"US Airways","","SportsLoverofNY","",0,"@USAirways the American Eagle plane you're using for CLT to RDU is disgusting! You should be ashamed! #disgusting #ew http://t.co/B4xhiRuGzV","","2015-02-21 10:31:17 -0800","","","negative",6217,0.0653737197646546,1
"10567",569176543236399104,1,"Can't Tell",0.6181,"US Airways","","observepeople","",0,"@usairways I just learned that although there is travel policy and they waive the change fee-you will still be charged a $25 reservation fee","","2015-02-21 08:47:17 -0800","","Eastern Time (US & Canada)","negative",6236,0.0653737197646546,1
"10601",569143443512897536,1,"Late Flight",0.6669,"US Airways","","lfothergill","",0,"@USAirways can you please post wait time-have been on hold for two hours","","2015-02-21 06:35:45 -0800","Pittsford, Vermont","Atlantic Time (Canada)","negative",6266,0.0653737197646546,1
"10609",569129625592274944,1,"Damaged Luggage",0.686,"US Airways","","CraigHall19701","",0,"@USAirways baggage drop at phl b/c is incredibly backed up... unacceptable service","","2015-02-21 05:40:51 -0800","Delaware","Eastern Time (US & Canada)","negative",6273,0.0653737197646546,1
"10647",569016065600008192,1,"Late Flight",1,"US Airways","","scottydont11","",0,"@USAirways Not only did u lose the flight plan! Now ur flight crew is FAA timed out! Thx for havin us sit on the tarmac for an hr! #Pathetic","","2015-02-20 22:09:36 -0800","El Paso, TX","Mountain Time (US & Canada)","negative",6303,0.0653737197646546,1
"10654",569007890029129728,0.6806,"Bad Flight",0.3453,"US Airways","","ParHammer","",0,"@USAirways I was eventually given a flight to Memphis but only after I was taken off my original flight bc I was checked in as my father","","2015-02-20 21:37:07 -0800","Rialto, Ca","Pacific Time (US & Canada)","negative",6308,0.0653737197646546,1
"10668",568996205910466560,1,"Late Flight",1,"US Airways","","SweetingR","",0,"@USAirways I have a story for you. It starts with a two hour delayed flight that makes me miss my connection in Miami.","","2015-02-20 20:50:41 -0800","Asheville, NC","Eastern Time (US & Canada)","negative",6320,0.0653737197646546,1
"10670",568995277580996608,1,"Customer Service Issue",1,"US Airways","","FirstTeachers1","",0,"@USAirways -doing best??? Think not. Lousy way to run an airline. Why no online way to connect? You be on hold for 2hrs &amp; then zip","","2015-02-20 20:47:00 -0800","Birmingham, AL","Central Time (US & Canada)","negative",6321,0.0653737197646546,1
"10687",568977167410802688,1,"Customer Service Issue",0.6523,"US Airways","","stephenrodrick","",0,"@USAirways Website won't let me change online even though airline issued travel advisory, now on hold for 50 minutes. Help.","","2015-02-20 19:35:02 -0800","","Arizona","negative",6337,0.0653737197646546,1
"10732",568930740127326208,1,"Customer Service Issue",1,"US Airways","","Shapperdacapper","",0,"@USAirways I know some folks have to use your airlines but doesn't customer service ever matter? I really hate to complain but it's brutal!","","2015-02-20 16:30:33 -0800","Denver, Colorado","Mountain Time (US & Canada)","negative",6373,0.0653737197646546,1
"10777",568885645927686144,1,"Customer Service Issue",0.3406,"US Airways","","TimAtConservis","",0,"@USAirways How do I get through?","","2015-02-20 13:31:22 -0800","Asheville, NC","","negative",6410,0.0653737197646546,1
"10785",568877748967444480,1,"Customer Service Issue",1,"US Airways","","TimAtConservis","",0,"@USAirways I keep calling your help line (800) 428-4322 and it keeps saying they are too busy to help &amp; to call back Late Flightr. FOR A WEEK NOW!","","2015-02-20 12:59:59 -0800","Asheville, NC","","negative",6415,0.0653737197646546,1
"10799",568867930127114240,0.6451,"Bad Flight",0.6451,"US Airways","","elliottgilmore","",0,"@USAirways another squashed flight. Having to share my seat with another passenger is not@my idea of quality travel","","2015-02-20 12:20:58 -0800","New York","Eastern Time (US & Canada)","negative",6420,0.0653737197646546,1
"10811",568857663171366912,0.6682,"Customer Service Issue",0.6682,"US Airways","","JustCurious1971","",0,"@USAirways Merging AA and DividendMiles yield an error. What are the _exact_ steps to navigate the phone menu? All I get is a computer.","","2015-02-20 11:40:10 -0800","","","negative",6429,0.0653737197646546,1
"10825",568845421390344192,1,"Customer Service Issue",1,"US Airways","","ElFun","",0,"“@USAirways: We're sincerely sorry, Sean. Reservations is working hard to answer everyone's call and we appreciate your patience.” #false","[34.16721627, -118.34537339]","2015-02-20 10:51:31 -0800","Burbank","Pacific Time (US & Canada)","negative",6438,0.0653737197646546,1
"10828",568842945530441728,1,"Customer Service Issue",1,"US Airways","","heidiharr","",0,"@USAirways I have been in contact with 3 people and still no answers. You keep sending me to @Expedia and they keep sending me to you!","","2015-02-20 10:41:41 -0800","","","negative",6440,0.0653737197646546,1
"10831",568840215089041408,0.6726,"Bad Flight",0.3363,"US Airways","","nancysilbergphd","",0,"@USAirways we have seats.  on phone Iwas  told I was getting error msg due to paid 1st class upgrd. told to check in after 12am.sound right?","","2015-02-20 10:30:50 -0800","","","negative",6443,0.0653737197646546,1
